PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD004439	.temp.raw	66	03/04/2014 01:56:21	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	ORBITRAP FUSION	1.0.727.28	1	0		None	0.500	82938	36464	1-82938	0-200	100-2000	FTMS + p NSI Full ms [400.00-2000.00]	FTMS + p NSI sps d Full ms3 987.49@cid30.00 564.35@hcd65.00 [100.00-500.00]	39193		BioSample_1_test_mix_of_20ul_each	QC		1-V1	0	-1	1	1		Time-course global proteome analyses in the APPNL-F mouse model of Alzheimer disease	PRIDE	Mus musculus 	Orbitrap Fusion	Wang et al. (2017)	Gerold Schmitt-Ulms	2017-08-02	2017	08	02	Biological, Biomedical, mouse, brain, amyloid beta, LC-MS/MS, 
PXD004454	.temp.raw	66	27/06/2015 08:10:50	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10203	1.2.1149	1	2		None	0.500	140637	124798	1-140637	0.01-184.99	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	10207		1:A,1	Unknown	psyllid 30 ug 20	1:C,6	0	3	14	1		Asian citrus psyllid proteomics: CLas(-) whole adult ACP	PRIDE	Diaphorina citri (Asian citrus psyllid)	Orbitrap Fusion	10.1098/rsos.160545	Michelle Cilia	2017-02-27	2017	02	27	Biological, citrus greening, Asian citrus psyllid, huanglongbing, Diaphorina citri, insect vector, Candidatus Liberibacter asiaticus, 
PXD004628	.temp.raw	66	10/05/2015 11:10:37	F01SW1	1		Orbitrap Fusion	Orbitrap Fusion	CALMP-20	1.2.1141.17	1	2		None	0.500	27215	12094	1-27215	0.01-180	105-2000	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI sps d Full ms3 591.8702@cid35.00 563.8412@hcd55.00 [110.0000-961.0000]	14158	MIC_CMR_ggTMT_Btz16hr_1mg_IP1_IP2_Fraction_70	A1	Unknown		D6	0	4	5	1		Highly Multiplexed Quantitative Mass Spectrometry Analysis of Ubiquitylomes	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion	Rose et al. (2016)	Steven P. Gygi	2016-10-10	2016	10	10	Ubiquitin, 10-plex TMT, Orbitrap Fusion Lumos Tribrid Mass Spectrometer, mouse, bortezomib, mithocondria, 
PXD004670	.temp.raw	66	21/11/2014 12:09:31	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10278	1.1.982	1	1		None	0.500	20920	6974	1-20920	0-100	100-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	3007		1	Unknown		E2	0	5	0	1		Insight into enzymatic degradation of corn, wheat, and soybean cell wall cellulose using quantitative secretome analysis of Aspergillus fumigatus	PRIDE	Aspergillus fumigatus Af293	Orbitrap Fusion	Sharma Ghimire et al. (2016)	Cheng Jin	2016-09-29	2016	09	29	Biological, Aspergillus fumigatus, lignocelluloses, iTRAQ，secretome, lignocellulolytic proteins, forage, 
PXD004814	.temp.raw	66	27/04/2015 20:46:05	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10203	1.2.1149	1	2		None	0.500	79870	65917	1-79870	0.01-184.99	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	8358		1:A,1	Unknown	app7 in 50 ul instead of 30 ul	1:B,5	0	5	2	1		PLRV co-immunoprecipitation from Solanum tuberosum	PRIDE	Solanum tuberosum 	Orbitrap Fusion	DeBlasio et al. (2016)	Michelle Cilia	2016-12-20	2016	12	20	Biological, Luteoviridae, polerovirus, Potato leafroll virus, host-pathogen interactions, phloem-limited, co-immunoprecipitation, LC-MSMS, Solanum tuberosum, 
PXD005004	.temp.raw	66	14/02/2015 13:39:04	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10260	1.1.982	1	1		None	0.500	43353	18111	1-43353	0-119.99	105-2000.0001	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	21621		GA12	Unknown		GC1	0	7	2	1		C. rodentium remodels metabolism in IEC	PRIDE	Mus musculus , Citrobacter rodentium	Orbitrap Fusion	Berger et al. (2017)	Jyoti Choudhary	2018-01-10	2018	01	10	Mouse, Colon, TMT, LC-MSMS, Citrobacter Rodentium, Phosphorylation, 
PXD005064	.temp.raw	66	23/05/2015 10:33:31	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.2.1149	1	2		None	0.500	49690	23037	1-49690	0.01-120	100-2001.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	28102	pm_06	  	Unknown		B6	0	2	0	1		Quantitative Temporal in vivo Proteomics (QTiPs) deciphers the transition of inflammatory CD11b+,Ly6G-,Ly6Chigh myeloid cells into M2-like macrophages	PRIDE	Mus musculus 	Orbitrap Fusion	Clements et al. (2017)	Shashi Gujar	2017-08-09	2017	08	09	Biological, Biomedical, myeloid cells, infection, proteomics, M2-like macrophages, 
PXD005180	.temp.raw	66	14/10/2015 09:04:31	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10260	1.1.982	1	1		None	0.500	58919	27337	1-58919	10-140.02	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI sps d Full ms3 724.7116@cid35.00 579.2115@hcd45.00 [120.0000-140.0000]	28028			Unknown		RB1	0	5	33	1		A knockout screen of ApiAP2 genes reveals networks of interacting transcriptional regulators controlling the Plasmodium life cycle.	PRIDE	Plasmodium berghei	Orbitrap Fusion	Modrzynska et al. (2017)	Jyoti Choudhary	2017-02-08	2017	02	08	Biological, Biomedical, Plasmodium, Malaria, TMT, 
PXD005235	.temp.raw	66	15/03/2015 11:05:20	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10260	1.1.982	1	1		None	0.500	49965	22404	1-49965	0-120.01	105-2000.0001	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI sps d Full ms3 816.4453@cid35.00 603.4340@hcd45.00 [120.0000-140.0000]	25177		BC4	Unknown		GB2	0	7	0	1		Genomic determinants of protein abundance variation in colorectal cancer cell lines	PRIDE	Homo sapiens 	Orbitrap Fusion	Roumeliotis et al. (2017)	Jyoti Choudhary	2017-08-09	2017	08	09	Biomedical, Proteomics, TMT, protein complexes, networks, phosphorylation, mutations, CRISPR/cas9, colorectal cancer, cell lines, drug response, 
PXD005270	.temp.raw	66	07/05/2015 05:09:14	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.1.980	1	1		None	0.500	39379	18357	1-39379	0.01-120	100-2000.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	21062	jn_para_02	  	Unknown		D2	0	1.5	0	1		Quantitative multiplex proteomics of Taenia solium cysts	PRIDE	Taenia solium (Pork tapeworm)	Orbitrap Fusion	Navarrete-Perea et al. (2017)	Juan Pedro Laclette	2017-10-09	2017	10	09	Biological, Taenia solium, cysticerci, 
PXD005361	.temp.raw	66	15/05/2015 07:31:15	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.1.980	1	1		None	0.500	55803	25995	1-55803	0-180	100-2000.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	27827	jp_2822	  	Unknown		e2	0	4	9	1		Nicotine-induced protein expression profiling reveals mutually altered proteins across four human cell lines	PRIDE	Homo sapiens 	Orbitrap Fusion	Paulo & Gygi (2017)	Joao A. Paulo	2018-10-26	2018	10	26	Biomedical, TMT, Orbitrap Fusion, nicotine, pancreas, SPS-MS3, 
PXD005558	.temp.raw	66	02/07/2015 16:48:43	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10120	1.2.1149	1	2		None	0.500	7073	4304	1-7073	0-73.01	110-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI d Full ms2 755.5300@hcd40.00 [110.0000-1522.0000]	2144		10 sec 3uscans	Unknown		A3	0	5	0	1		Streptomyces coelicolor quantitative proteome and phosphoproteome analyses reveal proteins and phosphoproteins modulating differentiation and secondary metabolism	PRIDE	Streptomyces coelicolor	Orbitrap Fusion	Rioseras et al. (2018)	Ole N�rregaard Jensen	2018-05-25	2018	05	25	Biological, TiO2, phosphoproteomics, Streptomyces coelicolor, 
PXD005598	.temp.raw	66	31/01/2015 05:09:18	Fusion	1		Orbitrap Fusion	Orbitrap Fusion	CAL-MP25	1.1.980	1	1		None	0.500	66940	54574	1-66940	0-80	120-2000	FTMS + p NSI Full ms [300.0000-1500.0000]	FTMS + p NSI Full ms [300.0000-1500.0000]	8436		F8	Unknown		A1	0	4	0	1		A fatty acid oxidation-dependent metabolic shift regulates adult neural stem cell quiescence	PRIDE	Mus musculus 	Orbitrap Fusion	Knobloch et al. (2017)	Sebastian Jessberger	2019-11-15	2019	11	15	Biological, fatty acid oxidation, quiescence, neural stem cell, 
PXD005666	.temp.raw	66	12/02/2015 01:41:10	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10208	1.1.982	1	1		None	0.500	32886	23060	1-32886	4.01-90	120-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	5496		Nunez / 22KO Control / 8	Unknown		GC8	0	10	7	1		IL-22 Controls Iron-Dependent Nutritional Immunity Against Systemic Bacterial Infections	PRIDE	Mus musculus 	Orbitrap Fusion	Sakamoto et al. (2017)	Gabriel Nunez	2017-02-03	2017	02	03	Biomedical, hemopexin, IL-22, bacterial infection, 
PXD005858	.temp.raw	66	07/02/2015 01:56:18	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10260	1.1.982	1	1		None	0.500	48184	20485	1-48184	0-120	105-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI sps d Full ms3 1223.1753@cid35.00 1121.3477@hcd45.00 [120.0000-140.0000]	21803		GA11	Unknown		GA1	0	7	10	1		Exploiting induced pluripotent stem cell-derived macrophages to unravel host factors influencing Chlamydia trachomatis pathogenesis	PRIDE	Chlamydia trachomatis, Homo sapiens 	Orbitrap Fusion	Yeung et al. (2017)	Jyoti Choudhary	2018-02-14	2018	02	14	Biological, Biomedical, LC-MSMS, TMT, iPS cells, Chlamydia, 
PXD005871	.temp.raw	66	19/02/2015 17:35:43	FUSION01	1		Orbitrap Fusion	Orbitrap Fusion	MP13	1.1.921	1	1		None	0.500	18059	14964	1-18059	0-90	120-2000	FTMS + p NSI Full ms [300.0000-1250.0000]	FTMS + p NSI Full ms [300.0000-1250.0000]	6160		1	Unknown		1	0	10	0	1		CARM1 substrate identification	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Shishkova et al. (2017)	Joshua J Coon	2017-07-03	2017	07	03	Biological, Arginine methylation, MCF7, MDA-MB-231, Orbitrap Fusion Lumos, bottom-up, 
PXD006045	.temp.raw	66	17/09/2015 21:33:31	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10260	1.1.982	1	1		None	0.500	31063	22495	1-31063	10.02-120	120-2000	FTMS + p NSI Full ms [380.0000-1580.0000]	FTMS + p NSI Full ms [380.0000-1580.0000]	5363			Unknown		BC1	0	5	11	1		Cross-talk between PKA and PKG controls pH-dependent host cell egress of Toxoplasma gondii	PRIDE	Toxoplasma gondii	Orbitrap Fusion	Jia et al. (2017)	Jyoti Choudhary	2017-10-12	2017	10	12	Biological, LC-MSMS, IMAC, Phospho, T. gondii, 
PXD006055	.temp.raw	66	15/09/2015 14:11:13	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.2.1149	1	2		None	0.500	22858	6656	1-22858	0.01-150.01	100-2001.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI sps d Full ms3 804.0818@cid35.00 413.4301@hcd55.00 [100.0000-1000.0000]	7371	fm_03	  	Unknown		D3	0	3	0	1		Quantitative Phospho-proteomic Analysis of TNFα/NFκB Signaling Reveals a Role for RIPK1 Phosphorylation in Suppressing Necrotic Cell Death	PRIDE	Homo sapiens 	Orbitrap Fusion	Mohideen et al. (2017)	Firaz Mohideen	2017-05-30	2017	05	30	Biological, Mass spectrometry, Phosphoproteome, Cellular Signaling, Cell death, Inflammatory response, 
PXD006081	.temp.raw	66	10/07/2015 22:25:06	voyager	6		Orbitrap Fusion	Orbitrap Fusion	FSN10174	1.1.980	1	1		None	0.500	65428	46212	1-65428	0-160	77-2000	FTMS + p NSI Full ms [300.0000-2000.0000]	FTMS + p NSI Full ms [300.0000-2000.0000]	12770		V8 4h FL Ctrl	Unknown	Calib 08.07.15/colonne reprosil n 67	RA4	0	5	5	1		Mass spectrometry analysis of cleavage sites for different protease allergens in human IL-33	PRIDE	Oryctolagus cuniculus , Homo sapiens 	Orbitrap Fusion	Cayrol et al. (2018)	odile Schiltz	2018-03-14	2018	03	14	Biomedical, Interleukin-33, human, protease processing, peptide mapping, LC-MS/MS, 
PXD006255	.temp.raw	66	18/07/2015 13:38:59	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	30676	25745	1-30676	0-119.99	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	3023		1	Unknown		F5	0	10	0	1		Rapid processing of archival tissue samples for proteomic analysis using pressure-cycling technology	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Harsha Gowda	2018-01-08	2018	01	08	Technical, Pressure cycling technology, Barocycler, Mass spectrometry, 
PXD006290	.temp.raw	66	29/09/2015 16:27:48	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10270	1.1.982	1	1		None	0.500	48233	40967	1-48233	0-150	120-2000	FTMS + c NSI Full ms [400.0000-1600.0000]	FTMS + c NSI Full ms [400.0000-1600.0000]	6629		1	Unknown		RE1	0	1	0	1		Cross talks between mutant Leucine Rich Repeat Kinase 2 in the peripheral immune system and the CNS regulate neurodegeneration after environmental insult - part 1	PRIDE	Mus musculus 	Orbitrap Fusion	Kozina et al. (2018)	Junmin Peng	2018-05-02	2018	05	02	Biomedical, LRRK2, Parkinson’s disease, inflammation, LPS, microglia, cytokines., 
PXD006293	.temp.raw	66	05/11/2015 10:28:45	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.2.1149	1	2		None	0.500	65743	30510	1-65743	0.01-150	100-2001.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	33480	mpr_pmq_12	  	Unknown		B4	0	1	0	1		Multi-omics analysis identifies ATF4 as a key regulator of the mitochondrial stress response in mammals	PRIDE	Homo sapiens 	Orbitrap Fusion	Quir�s et al. (2017)	Daniel J Finley	2017-06-01	2017	06	01	Biological, mitochondria, ATF4, omics, human, Orbitral Fusion, 
PXD006552	.temp.raw	66	05/08/2016 17:51:55	ThermoScientific	2		Orbitrap Fusion	Orbitrap Fusion	MP22	1.2.1149	1	2		None	0.500	11970	9201	1-11970	0.01-89.01	120-2000	FTMS + p NSI Full ms [400.0000-2000.0000]	FTMS + c NSI d Full ms2 743.5541@hcd30.00 [120.0000-2000.0000]	3868		Wash4	Unknown		2:C,3	0	5	0	1		Diversity of Amyloid-beta Proteoforms in the Alzheimer's Disease Brain	PRIDE	Homo sapiens 	Orbitrap Fusion	Wildburger et al. (2017)	David L. Brody	2017-08-28	2017	08	28	Biomedical, Alzheimer’s disease, top-down mass spectrometry, amyloid-beta, proteoforms, post-translational modifications (PTMs), truncations, 
PXD006596	.temp.raw	66	23/01/2015 21:47:15	Thermo Fisher	6		Orbitrap Fusion	Orbitrap Fusion	FSN10106	1.1.980	1	1		None	0.500	63315	43069	1-63315	0.01-125	120-2000	FTMS + c NSI Full ms [197.0777-1500.0000]	ITMS + c NSI r d Full ms2 993.1456@hcd30.00 [120.0000-1997.0000]	8918		1	Unknown		RC11	0	38	28	1		Translational repression of the Drosophila nanos mRNA involves the RNA helicase Belle and RNA coating by Me31B and Trailer hitch	PRIDE	Drosophila melanogaster (Fruit fly)	Orbitrap Fusion	G�tze et al. (2017)	Elmar Wahle	2017-07-18	2017	07	18	Biological, Smaug, nanos, Me31B, Trailer hitch, Cup, Ccr4-not-complex, translational repression, deadenylation DEAD-box helicase, 
PXD006615	.temp.raw	66	06/03/2016 17:10:35	orbitrap	1		Orbitrap Fusion	Orbitrap Fusion	FSN10178	1.2.1149	1	2		None	0.500	47334	37021	1-47334	0.01-100	105-2001.0001	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	8841			Unknown			0	0	4	1		Comparison of targeted mass spectrometry techniques with an immunoassay: a case study for HSP90 alpha	PRIDE	Homo sapiens 	Orbitrap Fusion	G�zel et al. (2018)	Theo Luider	2018-07-05	2018	07	05	Technical, Serum, SCX, HSP90, SRM, PRM, DDA, shotgun, ELISA, 
PXD006618	.temp.raw	66	14/10/2015 03:22:49	orbitrap	1		Orbitrap Fusion	Orbitrap Fusion	FSN10178	1.2.1149	1	2		None	0.500	2103	2102	1-2103	0.03-20.01	150-1300	FTMS + c NSI Full ms2 576.2826@hcd24.00 [150.0000-1200.0000]	FTMS + c NSI Full ms2 618.3044@hcd24.00 [150.0000-1300.0000]	4			Unknown			0	0	11	1		Comparison of targeted mass spectrometry techniques with an immunoassay: a case study for HSP90 alpha, part 1	PRIDE	Homo sapiens 	Orbitrap Fusion	G�zel et al. (2018)	Theo Luider	2018-07-05	2018	07	05	Technical, Serum, SCX, HSP90, SRM, PRM, ELISA, 
PXD007577	.temp.raw	66	06/02/2016 03:39:17	FGV0K02	1		Orbitrap Fusion	Orbitrap Fusion	FSN10144	1.2.1141.13	1	2		None	0.500	53288	44904	1-53288	0.01-155	77-2000.0001	FTMS + p NSI Full ms [300.0000-1500.0000]	ITMS + c NSI d Full ms2 829.5233@cid35.00 [223.0000-1670.0000]	4614		1	Unknown		b3	0	1	2	1		The Polycomb group protein CBX6 is an essential regulator of embryonic stem cell identity	PRIDE	Mus musculus 	Orbitrap Fusion	Santanach et al. (2017)	Luciano Di Croce	2017-09-25	2017	09	25	Biological, Mouse, ESC, Cbx6, pluripotency, affinity capture followed by MS, 
PXD007620	.temp.raw	66	12/10/2015 21:14:52	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10297	1.2.1149	1	2		None	0.500	15773	2133	1-15773	0.01-135	110-2000	FTMS + p NSI Full ms [380.0000-1500.0000]	FTMS + p NSI Full ms [380.0000-1500.0000]	864		Sample38	Unknown		B7	0	5	0	0		Specificity of phosphorylation responses to MAP kinase pathway inhibitors in melanoma cells, experiment 1 of 2	PRIDE	Homo sapiens 	Orbitrap Fusion	Basken et al. (2017)	Natalie G. Ahn	2018-01-02	2018	01	02	Biomedical, Human, Melanoma, SILAC, trametinib, selumetinib, SCH772984, GDC0994, 
PXD007637	.temp.raw	66	17/07/2015 01:21:57	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	30348	24565	1-30348	0-120	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	3820		1	Unknown		E1	0	15	1	1		Molecular alterations elicited by chronic exposure to cigarette smoke in oral keratinocytes	PRIDE	Homo sapiens 	Orbitrap Fusion	Rajagopalan et al. (2018)	Aditi Chatterjee	2018-03-05	2018	03	05	Biomedical, Orbitrap Fusion, high-throughput, carcinogenesis, smoking, chronic exposure, 
PXD007768	.temp.raw	66	20/12/2014 17:39:37	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	30377	24907	1-30377	0-120	100-2000	FTMS + p NSI Full ms [350.0000-1800.0000]	FTMS + p NSI Full ms [350.0000-1800.0000]	5702		1	Unknown		C11	0	10	0	1		SILAC-based proteomic approach to delineate molecular alterations associated with erlotinib resistance in head and neck squamous cell carcinoma	PRIDE	Homo sapiens 	Orbitrap Fusion	Jain et al. (2019)	Harsha Gowda	2019-12-18	2019	12	18	Biomedical, EGFR-tyrosine kinase inhibitor resistance, signaling pathways, mass spectrometry, quantitative proteomics, head and neck cancer, 
PXD007785	.temp.raw	66	17/12/2014 02:08:11	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	30586	25821	1-30586	0-120	100-2000	FTMS + p NSI Full ms [350.0000-1800.0000]	FTMS + c NSI d Full ms2 1134.0529@hcd32.00 [100.0000-2000.0000]	6058		1	Unknown		H5	0	10	0	1		Genetic aberrations in MAP kinase pathway play an important role in erlotinib resistance in head and neck cancer	PRIDE	Homo sapiens 	Orbitrap Fusion	Jain et al. (2019)	Harsha Gowda	2019-12-18	2019	12	18	Biomedical, EGFR-tyrosine kinase inhibitor resistance, signaling pathways, mass spectrometry, quantitative phosphoproteomics, head and neck cancer, 
PXD007790	.temp.raw	66	04/05/2014 11:59:49	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	48354	22538	1-48354	0-120.01	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI sps d Full ms3 729.88@cid35.00 423.74@hcd55.00 [100.00-1000.00]	24702	pm_complex_I_b_6	  6	Unknown		B6	0	4	8	1		NAD Salvage Supports Serine Biosynthesis	PRIDE	Homo sapiens 	Orbitrap Fusion	Murphy et al. (2018)	Shashi Gujar	2018-08-14	2018	08	14	Biological, Serine, Complex I, NAD, FK866, 
PXD007851	.temp.raw	66	26/04/2016 12:55:44	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10201	1.2.1149	1	2		None	0.500	71909	32060	1-71909	0.01-195	100-2001.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI Full ms [400.0000-1400.0000]	28911		ag_tc-d285_F12A	Unknown		E4	0	2	10	1		A Chemproteomics Approach to Query the Degradable Kinome Using a Multi-kinase Degrader	PRIDE	Homo sapiens 	Orbitrap Fusion	Huang et al. (2018)	Eric S. Fischer	2017-11-08	2017	11	08	Biological, kinase, 
PXD007890	.temp.raw	66	30/04/2015 20:25:47	ORBITRAP FUSION	1		Orbitrap Fusion	Orbitrap Fusion	FSN10189	1.1.982	1	1		None	0.500	75824	64521	1-75824	18.01-160	120-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	7710		1	Unknown		1D02	0	4	1	1		Human pancreatic cancer LC-MSMS	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Wang et al. (2018); Niu et al. (2020)	Jun Qu	2018-01-29	2018	01	29	Biomedical, Human, pancreatic cancer, LC-MSMS, 
PXD008119	.temp.raw	66	13/05/2015 20:20:05	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10111	1.1.980	1	1		None	0.500	104111	85946	1-104111	0-161.99	120-2000	FTMS + p NSI Full ms [400.0000-1500.0000]	FTMS + p NSI Full ms [400.0000-1500.0000]	10719		1	Unknown		BA1	0	3	1	1		A Comprehensive Proteomics Study on Platelet Concentrates: Platelet Proteome, Storage Time and Mirasol Pathogen Reduction Technology	PRIDE	Homo sapiens 	Orbitrap Fusion	Salunkhe et al. (2018)	Laura Guti�rrez	2018-03-23	2018	03	23	Technical, Biological, Platelet Transfusion, Platelet Function Tests, Proteomics, Blood Safety, Pathogen Inactivation Technologies, Storage Time, 
PXD008339	.temp.raw	66	25/10/2015 06:29:25	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	1	1.1.982	1	1		None	0.500	56759	25495	1-56759	0-145	105-2000.0001	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI sps d Full ms3 700.9019@cid35.00 479.3611@hcd55.00 [110.0000-500.0000]	24189		1	Unknown		RA3	0	15	7	1		Characterisation of proteome of a novel Escherichia coli strain exhibiting mucoviscous phenotype.	PRIDE	Escherichia coli	Orbitrap Fusion Lumos	Dataset with its publication pending	Professor David G. E. Smith	2018-08-22	2018	08	22	Biological, Escherichia coli, mucoviscous, anaerobic, antibiotic, MIC, ceftazidime, TMT, shotgun, quantification, 
PXD008373	.temp.raw	66	20/12/2015 18:30:43	Dell9020Base	1		Orbitrap Fusion	Orbitrap Fusion	FSN10250	1.2.1149	1	2		None	0.500	59207	53397	1-59207	0-74.99	120-2000	FTMS + c NSI Full ms [300.0000-1400.0000]	FTMS + c NSI Full ms [300.0000-1400.0000]	7025		1	Unknown		G4	0	5	2	1		Proteome Landscape of Early Stage Hepatocellular Carcinoma Identifies Proteomic Subtypes and New Therapeutic Targets - Phosphorylation data	PRIDE	Homo sapiens 	Orbitrap Fusion	Jiang et al. (2019)	Fuchu He	2019-03-01	2019	03	01	Liver (B/D-HPP), Cancer (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, Biomedical, Hepatocellular Carcinoma, Phosphoproteome, Therapeutic Targets
PXD008383	.temp.raw	66	24/10/2015 08:52:19	orbitrap	1		Orbitrap Fusion	Orbitrap Fusion	FSN10178	1.2.1149	1	2		None	0.500	67798	59701	1-67798	0-100	105-2001	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	9018			Unknown			0	0	9	1		Distribution of Collagen in Colorectal Liver Metastasis and Normal Liver tissue	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Theo M. Luider	2018-11-21	2018	11	21	Biomedical, Collagen Mass spectrometry Proteomics Colorectal liver metastasis, 
